vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,3.55,3.6,1.61666666666667,1.91666666666667,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,1.86666666666667,1.91666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,1.61666666666667,1.91666666666667,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,1.61666666666667,1.66666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,1.71666666666667,1.81666666666667,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,1.81666666666667,1.86666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,1.71666666666667,1.81666666666667,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,1.66666666666667,1.71666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,3.55,3.6,4.55,4.85,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,4.8,4.85,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,4.55,4.85,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,4.55,4.6,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,4.65,4.75,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,4.75,4.8,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,4.65,4.75,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,4.6,4.65,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,4.0,4.0,0.15,0.2,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,4.0,4.0,0.2,0.4,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,4.0,4.0,0.4,0.45,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,4.0,4.0,0.2,0.4,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,4.0,4.0,0.2,0.25,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,4.0,4.0,0.2,0.4,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,4.0,4.0,0.35,0.4,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,4.0,4.0,0.2,0.4,0.2,0.25,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,2.41666666666667,2.46666666666667,4.55,4.85,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,2.46666666666667,2.66666666666667,4.8,4.85,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,2.66666666666667,2.71666666666667,4.55,4.85,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,2.46666666666667,2.66666666666667,4.55,4.6,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,2.46666666666667,2.51666666666667,4.65,4.75,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,2.46666666666667,2.66666666666667,4.75,4.8,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,2.61666666666667,2.66666666666667,4.65,4.75,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,2.46666666666667,2.66666666666667,4.6,4.65,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,2.41666666666667,2.71666666666667,5.0,5.0,0.15,0.45,0.1,
